Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/BurkinaFaso/66/2017	EPI1088464	2017-06-01	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	12.00	2017.42	2017-06-02
A/NewJersey/25/2017	EPI1039731	2017-05-28	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.41	2017-05-28
A/Jiangsu-Hailing/SWL11432/2017	EPI1136350	2017-09-05	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.68	2017-09-06
A/BurkinaFaso/1133/2017	EPI1088504	2017-05-05	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.34	2017-05-05
A/Fujian-Tongan/SWL1341/2017	EPI1062844	2017-04-25	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.31	2017-04-25
A/CoteDIvoire/1884/2017	EPI1210778	2017-11-02	Africa	Cote D Ivoire	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.84	2017-11-02
A/Anhui-Yaohai/SWL1463/2017	EPI1062838	2017-06-04	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.43	2017-06-05
A/BurkinaFaso/79/2017	EPI1088472	2017-04-06	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.27	2017-04-07
A/Ghana/1762/2017	EPI1060789	2017-06-16	Africa	Ghana	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.46	2017-06-16
A/BurkinaFaso/2103/2017	EPI1099393	2017-02-28	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.16	2017-03-01
A/Mali/19/2017	EPI1078310	2017-07-03	Africa	Mali	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.50	2017-07-03
A/BurkinaFaso/165/2017	EPI1088637	2017-03-25	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.23	2017-03-25
A/BurkinaFaso/7/2017	EPI1088432	2017-03-16	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.21	2017-03-17
A/BurkinaFaso/48/2017	EPI1088456	2017-03-27	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.24	2017-03-28
A/BurkinaFaso/42/2017	EPI1088440	2017-03-26	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.23	2017-03-26
A/HongKong/2179/2017	EPI1019919	2017-05-14	China	Hong Kong	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.37	2017-05-15
A/BurkinaFaso/3138/2017	EPI1088669	2017-04-21	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.30	2017-04-21
A/CoteDIvoire/1049/2017	EPI1114270	2017-08-03	Africa	Cote D Ivoire	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.59	2017-08-03
A/Mali/25/2017	EPI1078334	2017-08-15	Africa	Mali	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	10.00	2017.62	2017-08-16
A/Neimenggu-Keerqin/SWL1498/2017	EPI1147936	2017-11-07	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.85	2017-11-08
A/CoteDIvoire/1245/2017	EPI1114274	2017-08-29	Africa	Cote D Ivoire	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.66	2017-08-29
A/CoteDIvoire/1127/2017	EPI1114272	2017-08-14	Africa	Cote D Ivoire	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.62	2017-08-14
A/CoteDIvoire/1730/2017	EPI1185816	2017-10-23	Africa	Cote D Ivoire	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.06	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.81	2017-10-23
A/Tunisia/1033/2017	EPI983088	2017-01-26	Africa	Tunisia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.02	0.50	6b1	0.00	0.00	0.00	3.00	0.00	9.00	2017.07	2017-01-26
A/Ceara/146075-IEC/2017	EPI1036466	2017-02-28	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.02	0.52	6b1	0.00	0.00	0.00	5.00	0.00	11.00	2017.16	2017-02-28
A/SantaCatarina/92/2017	EPI1017447	2017-02-28	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.52	6b1	0.00	0.00	0.00	8.00	0.00	11.00	2017.16	2017-03-01
A/Brazil/526/2017	EPI1047132	2017-02-03	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.52	6b1	0.00	0.00	0.00	6.00	0.00	13.00	2017.10	2017-02-04
A/Brazil/536/2017	EPI1047140	2017-03-15	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.52	6b1	0.00	0.00	0.00	6.00	0.00	12.00	2017.21	2017-03-16
A/SaoPaulo/537034/2017	EPI1023901	2017-06-05	South America	Brazil	unknown	Instituto Adolfo Lutz	unknown	unknown	unknown	0.02	0.52	6b1	0.00	0.00	0.00	6.00	0.00	12.00	2017.43	2017-06-06
A/Norway/2147/2017	EPI1001304	2017-04-03	Europe	Norway	unknown	Norwegian Institute Of Public Health	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	14.00	2017.26	2017-04-04
A/Kentucky/26/2017	EPI1078366	2017-09-06	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.52	6b1	0.00	0.00	0.02	5.00	0.00	12.00	2017.68	2017-09-07
A/Taiwan/1407/2017	EPI1195616	2017-10-13	China	Taiwan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	5.00	0.00	13.00	2017.79	2017-10-14
A/Norway/2146/2017	EPI1036454	2017-04-02	Europe	Norway	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.25	2017-04-03
A/Bahrain/263/2017	EPI1085205	2017-05-28	West Asia	Bahrain	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.41	2017-05-29
A/Oman/3367/2017	EPI1082196	2017-06-19	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.47	2017-06-19
A/SouthAfrica/R05819/2017	EPI1082208	2017-06-30	Africa	South Africa	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.50	2017-06-30
A/SouthAfrica/R06617/2017	EPI1047156	2017-07-14	Africa	South Africa	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.53	2017-07-14
A/Mozambique/434/2017	EPI1131686	2017-10-30	Africa	Mozambique	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	12.00	2017.83	2017-10-30
A/SouthAfrica/R07347/2017	EPI1047188	2017-07-23	Africa	South Africa	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.56	2017-07-24
A/Singapore/TT0420/2017	EPI1022894	2017-04-06	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.27	2017-04-07
A/Hyogo/1060/2017	EPI1085175	2017-06-09	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.44	2017-06-10
A/SriLanka/82/2017	EPI1082863	2017-08-14	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.62	2017-08-14
A/SriLanka/77/2017	EPI1132222	2017-08-10	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.61	2017-08-11
A/England/33/2017	EPI1029841	2017-02-25	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.02	11.00	2017.16	2017-02-26
A/SaudiArabia/1034579050/2017	EPI1060801	2017-03-19	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.22	2017-03-20
A/SaudiArabia/253340/2017	EPI1060811	2017-03-15	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.20	2017-03-15
A/Singapore/TT0441/2017	EPI1023014	2017-04-12	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.28	2017-04-12
A/SouthAuckland/46/2017	EPI1044639	2017-04-28	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.33	2017-04-29
A/Macau/SWL603049/2017	EPI1340704	2017-07-16	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.54	2017-07-17
A/Nonthaburi/214/2017	EPI1197959	2017-09-01	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.67	2017-09-01
A/Phitsanulok/379/2017	EPI1197941	2017-08-14	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.62	2017-08-15
A/England/41/2017	EPI1054439	2017-04-12	Europe	United Kingdom	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.28	2017-04-12
A/Bangladesh/8009/2017	EPI1017832	2017-04-24	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.31	2017-04-24
A/Oman/3208/2017	EPI1082190	2017-06-07	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	14.00	2017.43	2017-06-07
A/Oman/3205/2017	EPI1082188	2017-06-08	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	15.00	2017.44	2017-06-09
A/Pakistan/95/2017	EPI1164524	2017-12-07	West Asia	Pakistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.00	11.00	2017.94	2017-12-08
A/Hokkaido/26/2017	EPI1082213	2017-03-26	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.24	2017-03-27
A/Nagano/2561/2017	EPI1148012	2017-09-20	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	3.00	0.00	11.00	2017.72	2017-09-20
A/SaudiArabia/253107/2017	EPI1054447	2017-03-15	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.20	2017-03-15
A/Bangladesh/2005/2017	EPI1025136	2017-04-14	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.29	2017-04-15
A/Bangladesh/93/2017	EPI1058931	2017-05-12	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.36	2017-XX-XX
A/Bangladesh/1007/2017	EPI1025128	2017-04-16	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.29	2017-04-16
A/Bangladesh/1005/2017	EPI1017824	2017-04-25	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.32	2017-04-26
A/Bangladesh/9002/2017	EPI1056741	2017-05-06	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.35	2017-05-07
A/SaudiArabia/106153704/2017	EPI1060803	2017-03-18	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.21	2017-03-18
A/NewZealand/219/2017	EPI1047060	2017-06-05	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.43	2017-06-06
A/NewZealand/591/2017	EPI1047084	2017-06-27	Oceania	New Zealand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	12.00	2017.49	2017-06-28
A/SaudiArabia/2362806503/2017	EPI1060807	2017-03-07	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.18	2017-03-07
A/Saitama-C/21/2017	EPI1087508	2017-05-06	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.34	2017-05-06
A/Saitama/242/2017	EPI1044575	2017-05-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.36	2017-05-11
A/Niigata/188/2017	EPI1009569	2017-03-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.20	2017-03-15
A/SaudiArabia/NK3106091/2017	EPI1060815	2017-03-15	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.20	2017-03-15
A/India/2256/2017	EPI989266	2017-02-10	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.07	0.50	6b1	0.00	0.00	0.00	3.00	0.03	12.00	2017.11	2017-02-10
A/SaudiArabia/247711/2017	EPI1060809	2017-02-28	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.10	0.50	6b1	0.00	0.00	0.00	4.00	0.04	11.00	2017.16	2017-03-01
A/Mozambique/297/2017	EPI1118323	2017-08-24	Africa	Mozambique	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.10	0.50	6b1	0.00	0.00	0.00	4.00	0.01	11.00	2017.65	2017-08-24
A/Pakistan/38/2017	EPI1195542	2017-12-19	West Asia	Pakistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.24	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.97	2017-12-20
A/Pakistan/43/2017	EPI1195534	2017-12-22	West Asia	Pakistan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.24	0.50	6b1	0.00	0.00	0.00	4.00	0.00	10.00	2017.98	2017-12-23
A/India/2287/2017	EPI989274	2017-02-10	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.24	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.11	2017-02-10
A/Maldives/448/2017	EPI994217	2017-03-19	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.24	0.50	6b1	0.00	0.00	0.00	4.00	0.03	10.00	2017.22	2017-03-20
A/India/9573/2016	EPI989298	2016-12-18	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.06	10.00	2016.96	2016-12-17
A/India/2639/2017	EPI989290	2017-01-23	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.05	11.00	2017.07	2017-01-24
A/SriLanka/13/2017	EPI1132258	2017-04-02	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.03	10.00	2017.25	2017-04-02
A/Saga/123/2017	EPI1044563	2017-03-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.03	10.00	2017.24	2017-03-28
A/SriLanka/8/2017	EPI1132264	2017-01-28	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.05	10.00	2017.08	2017-01-28
A/Qatar/10-VI-17-0019774/2017	EPI1142048	2017-04-25	West Asia	Qatar	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.03	10.00	2017.31	2017-04-25
A/Qatar/10-VI-17-0000393/2017	EPI982567	2017-01-03	West Asia	Qatar	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.05	13.00	2017.01	2017-01-03
A/India/9574/2016	EPI989306	2016-12-18	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.06	11.00	2016.96	2016-12-17
A/Switzerland/202349/2017	EPI1046057	2017-07-03	Europe	Switzerland	unknown	Swiss National Reference Centre For Influenza	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	5.00	0.02	11.00	2017.50	2017-07-03
A/Perth/88/2017	EPI1082624	2017-06-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.02	11.00	2017.47	2017-06-19
A/Yokohama/136/2017	EPI1010349	2017-04-27	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.02	11.00	2017.32	2017-04-27
A/Mie/17/2017	EPI1044567	2017-04-24	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	4.00	0.03	11.00	2017.31	2017-04-24
A/Tak/68/2017	EPI1058923	2017-06-08	Southeast Asia	Thailand	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.33	0.50	6b1	0.00	0.00	0.00	5.00	0.02	11.00	2017.44	2017-06-09
A/India/1710/2017	EPI989251	2017-01-29	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.05	10.00	2017.08	2017-01-30
A/Bangladesh/36/2017	EPI1057064	2017-01-01	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.06	10.00	2017.00	2017-XX-XX
A/Bahrain/211/2017	EPI1085221	2017-04-20	West Asia	Bahrain	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.03	11.00	2017.30	2017-04-20
A/Brisbane/31/2017	EPI1021952	2017-03-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.22	2017-03-20
A/SriLanka/40/2017	EPI1132262	2017-03-03	South Asia	Sri Lanka	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	11.00	2017.17	2017-03-03
A/Qatar/10-VI-17-0002160/2017	EPI982575	2017-01-13	West Asia	Qatar	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.06	10.00	2017.04	2017-01-13
A/RheinlandPfalz/38/2017	EPI944513	2017-01-15	Europe	Germany	unknown	Robert Koch Institute	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.06	10.00	2017.04	2017-01-16
A/SaudiArabia/254177/2017	EPI1060813	2017-03-19	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.21	2017-03-19
A/Maldives/350/2017	EPI994147	2017-03-15	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.20	2017-03-15
A/Maldives/131/2017	EPI994091	2017-02-20	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.14	2017-02-20
A/Maldives/192/2017	EPI994107	2017-02-28	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.16	2017-02-28
A/Odessa/166/2017	EPI1017535	2017-03-22	Europe	Ukraine	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	11.00	2017.22	2017-03-23
A/Maldives/378/2017	EPI994163	2017-03-18	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	11.00	2017.21	2017-03-18
A/Cameroon/9150/2017	EPI1230799	2017-09-21	Africa	Cameroon	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	5.00	0.01	13.00	2017.73	2017-09-22
A/Cameroon/9517/2017	EPI1193147	2017-09-27	Africa	Cameroon	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	5.00	0.01	11.00	2017.74	2017-09-27
A/Maldives/446/2017	EPI1056645	2017-03-19	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.04	10.00	2017.22	2017-03-20
A/Maldives/509/2017	EPI994241	2017-03-26	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.03	10.00	2017.23	2017-03-26
A/Maldives/71/2017	EPI994277	2017-02-05	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	4.00	0.05	10.00	2017.10	2017-02-05
A/Maldives/445/2017	EPI994201	2017-03-19	South Asia	Maldives	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.37	0.50	6b1	0.00	0.00	0.00	5.00	0.04	10.00	2017.22	2017-03-20
A/India/1957/2017	EPI989259	2017-02-02	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	4.00	0.05	10.00	2017.09	2017-02-03
A/Kanagawa/207/2017	EPI1087514	2017-06-22	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	4.00	0.02	10.00	2017.47	2017-06-22
A/Bangladesh/685/2017	EPI1057080	2017-04-21	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	4.00	0.03	11.00	2017.31	2017-XX-XX
A/Bangladesh/1085/2017	EPI1057048	2017-03-23	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	5.00	0.04	10.00	2017.23	2017-XX-XX
A/England/20/2017	EPI1029785	2017-02-02	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	4.00	0.05	10.00	2017.09	2017-02-02
A/Mauritius/1570/2017	EPI1114310	2017-07-16	Africa	Mauritius	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.19	0.50	6b1	0.00	0.00	0.00	4.00	0.02	10.00	2017.54	2017-07-17
